customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
0088395699ea0fcd459bfbef084997db,ffe254cc039740e17dd15a5305035928,37640,extrema,MG
4b231c90751c27521f7ee27ed2dc3b8f,ffe254cc039740e17dd15a5305035928,37640,extrema,MG
1ae563fdfa500d150be6578066d83998,ff922bdd6bafcdf99cb90d7f39cea5b3,17340,barra bonita,SP
bec0bf00ac5bee64ce8ef5283051a70c,ff922bdd6bafcdf99cb90d7f39cea5b3,17340,barra bonita,SP
d064be88116eb8b958727aec4cf56a59,ff922bdd6bafcdf99cb90d7f39cea5b3,17340,barra bonita,SP
62a2c35611e8757e40fbbcecb3c9b2bd,ff8892f7c26aa0446da53d01b18df463,45972,ibiraja,BA
e53e1eedc9ebf9fa7a3318c60ece1d25,ff8892f7c26aa0446da53d01b18df463,45972,ibiraja,BA
09c682ef897935e677a0996cfe2008f3,ff44401d0d8f5b9c54a47374eb48c1b8,13070,campinas,SP
5d0c6c3c37720178553332f2509b2568,ff44401d0d8f5b9c54a47374eb48c1b8,13070,campinas,SP
3483b2a9e678865616e7d1b69b28dd4c,ff36be26206fffe1eb37afd54c70e18b,13057,campinas,SP
13362fc2728edd1397282bb32cf319c1,ff36be26206fffe1eb37afd54c70e18b,13057,campinas,SP
75c6e03e7206bd1dd59f427c9f75142a,ff36be26206fffe1eb37afd54c70e18b,13057,campinas,SP
4b7decb9b58e2569548b8b4c8e20e8d7,ff22e30958c13ffe219db7d711e8f564,2989,sao paulo,SP
13bf775a749925a15ef7cc1985b564f1,ff22e30958c13ffe219db7d711e8f564,2989,sao paulo,SP
a1902b753d5eeb9831f1d3f89a13fba8,ff03923ad1eb9e32304deb7f9b2a45c9,18703,avare,SP
03b400e08714b00279dfdc1356f6f03f,ff03923ad1eb9e32304deb7f9b2a45c9,18703,avare,SP
4a4df909c2ef2c499e5be7d87d6349b6,fed519569d16e690df6f89cb99d4e682,20540,rio de janeiro,RJ
fc024c596725f743f0d7bff1b3786457,fed519569d16e690df6f89cb99d4e682,20540,rio de janeiro,RJ
70a9b3a2a2f6c0e8cc4852bc3a591e2e,fed2005ccab4fcf1a40ebdaff032a148,13870,sao joao da boa vista,SP
f58300dfb9b940e4fe6950df8188c5bb,fed2005ccab4fcf1a40ebdaff032a148,13870,sao joao da boa vista,SP
fb827db7d93060684875e22f58033041,fe81bb32c243a86b2f86fbf053fe6140,1453,sao paulo,SP
5e6e0e06c988f485293a7341c8e21871,fe81bb32c243a86b2f86fbf053fe6140,1453,sao paulo,SP
2f7e0d9b02c05f440fea44dd6d81e8b4,fe81bb32c243a86b2f86fbf053fe6140,1453,sao paulo,SP
2ba770a39f5caf13266b19d5095c0712,fe81bb32c243a86b2f86fbf053fe6140,1453,sao paulo,SP
a7c6653654e36720ded54cb3f92432a3,fe81bb32c243a86b2f86fbf053fe6140,1453,sao paulo,SP
1d139dfd11131883fc327f6757390ce8,fe613188d4d20ea3e3dc1290549c3ad1,18110,votorantim,SP
ad333e6ded9268a907aaa1d480826f7d,fe613188d4d20ea3e3dc1290549c3ad1,18110,votorantim,SP
185d4f6e56ea6a1e423468b4d2eaa7cc,fe59d5878cd80080edbd29b5a0a4e1cf,71065,brasilia,DF
edee5737d062e9274e403eff4ad67e12,fe59d5878cd80080edbd29b5a0a4e1cf,71065,guara,DF
94c00589c7550e31350908f68e97d488,fe59d5878cd80080edbd29b5a0a4e1cf,71065,guara,DF
f7f4c88bd5093db7e3fc7baad3cd8deb,fe52c2abb172426dd6416cc69e6b3689,6754,taboao da serra,SP
c6c30c875a37fd22b85973acf55e600c,fe52c2abb172426dd6416cc69e6b3689,6754,taboao da serra,SP
1e79e4f1a4653e041c3ce1ddb2ff239f,fe3e52de024b82706717c38c8e183084,36420,ouro branco,MG
15baa4d1c9fd174d26e105980d24aeb9,fe3e52de024b82706717c38c8e183084,72306,brasilia,DF
10bf225850ad702ff45fb5f9016bd1bd,fe28d443ab89dc67f5858bc2beda299a,20251,rio de janeiro,RJ
522d542f869e1cd1db0df769db11b761,fe28d443ab89dc67f5858bc2beda299a,20251,rio de janeiro,RJ
797b1107c9db6e7610141a5edc125009,fde381fe79993303957d1fcf9cd6bf4a,18035,sorocaba,SP
f6917e239b9f9f34309ae169d4adf084,fde381fe79993303957d1fcf9cd6bf4a,18035,sorocaba,SP
7243a2e9ec5d80fa20402f7a1e14afff,fdb47f6659321662dce6524a8c629d0b,4159,sao paulo,SP
ade9e3538563e669167cfe8843d07dca,fdb47f6659321662dce6524a8c629d0b,4159,sao paulo,SP
93af7e4b75f74f04187970ba13ab3873,fdb2f8a871f180fefdf3ba06bf7ab179,95300,lagoa vermelha,RS
